,Unnamed: 0,Posição,País (ou território dependente),Estimativa da ONU,Data,Estimativa Oficial
215,,–,Samoa Americana (Estados Unidos),55 191,2020,Estimativa oficial
216,,188,São Cristóvão e Nevis,53 199,2020,Estimativa oficial
217,,–,Ilhas Faroe (Dinamarca),48 863,2020,Estimativa oficial
218,,–,São Martinho (Países Baixos),42 876,2020,Estimativa oficial
219,,189,Mónaco,39 242,2020,Estimativa oficial
220,,–,Ilhas Turks e Caicos (Reino Unido),38 717,2020,Estimativa oficial
221,,–,São Martinho (França),38 666,2020,Estimativa oficial
222,,190,Liechtenstein,38 128,2020,Estimativa oficial
223,,191,San Marino,33 931,2020,Estimativa oficial
224,,–,Gibraltar (Reino Unido),33 691,2020,Estimativa oficial
225,,–,Ilhas Virgens Britânicas (Reino Unido),30 231,2020,Estimativa oficial
226,,–,Bonaire (Países Baixos),20 915,2020,Estimativa oficial [6]
227,,192,Palau,18 094,2020,Estimativa oficial
228,,–,Ilhas Cook,17 564,2020,Estimativa oficial
229,,–,Anguila (Reino Unido),15 003,2020,Estimativa oficial
230,,193,Tuvalu,11 792,2020,Estimativa oficial
231,,–,Wallis e Futuna (França),11 239,2020,Estimativa oficial
232,,194,Nauru,10 824,2020,Estimativa oficial
233,,–,São Bartolomeu (França),9 877,2020,Estimativa oficial
234,,–,São Pedro e Miquelão (França),6 008,2016,Estimativa oficial
235,,–,Montserrat (Reino Unido),4 992,2020,Estimativa oficial
236,,–,Santa Helena (território) do Reino Unido),4 889,2020,Estimativa oficial
237,,–,Ilhas Malvinas (Reino Unido),3 480,2020,Estimativa oficial
238,,–,Santo Eustáquio (Países Baixos),3 139,2020,Estimativa Oficial [7]
239,,–,Território Britânico do Oceano Índico (UK),3 000,2020,Estimativa oficial [8]
240,,–,Ilha Christmas (Austrália),1 996,2020,Estimativa oficial
241,,–,Niue,1 626,2020,CIA World Factbook
242,,–,Saba (Países Baixos),1 933,2020,Estimativa oficial [9]
243,,–,Ilha Norfolk (Austrália),1 734,2020,Estimativa oficial
244,,–,Tokelau (NZ),1 357,2020,Final Estimativa oficial
245,,–,Ilha de Ascensão (Reino Unido),806,2021,Estimativa oficial[10]
246,,195,Vaticano,801,2020,Estimativa oficial
247,,–,Ilhas Cocos (Keeling) (Austrália),573,2020,Estimativa oficial
248,,–,Tristão da Cunha (Reino Unido),241,2022,Estimativa oficial[11]
249,,–,Ilhas Pitcairn (Reino Unido),40,2021,Estimativa oficial
