pais_origem,pais_destino,iso_cod,litros_exportados,valor_exportacao,preco_litro,populacao,temp_anual_media
Brasil,Brasil,BRA,3.1e-05,4.6e-05,1.4838709677419355,216877028,24.95
Brasil,África do Sul,ZAF,3e-05,0.000116,3.8666666666666667,59308690,17.75
Brasil,Nicarágua,NIC,2.4e-05,2.4e-05,1.0,6624554,24.9
Brasil,Croácia,HRV,2.1e-05,0.000123,5.857142857142857,4105267,10.9
Brasil,Vanuatu,VUT,1.8e-05,3.1e-05,1.7222222222222223,307145,23.95
Brasil,Jordânia,JOR,1.2e-05,5.2e-05,4.333333333333333,10203134,18.3
Brasil,Afeganistão,AFG,1.1e-05,4.6e-05,4.181818181818182,38928346,12.6
Brasil,Suazilândia,,1e-05,2.4e-05,2.4,1192000,19.0
Brasil,Comores,COM,9e-06,2.5e-05,2.7777777777777777,869601,25.3
Brasil,Mauritânia,MRT,9e-06,8.5e-05,9.444444444444445,4649658,27.65
Brasil,Belize,BLZ,9e-06,2.9e-05,3.2222222222222223,397628,25.35
Brasil,São Vicente e Granadinas,VCT,8e-06,4.8e-05,6.0,110940,26.8
Brasil,Bangladesh,BGD,5e-06,4.9e-05,9.8,172452382,25.0
Brasil,Indonésia,IDN,5e-06,6e-06,1.2,277184719,25.85
Brasil,Tuvalu,TUV,2e-06,4e-06,2.0,11792,27.65
Brasil,Ilhas Virgens,VIR,0.0,0.0,,105870,28.0
Brasil,Líbano,LBN,0.0,0.0,,6825445,15.0
Brasil,Iraque,IRQ,0.0,0.0,,40222493,21.4
Brasil,Porto Rico,PRI,0.0,0.0,,2860853,27.0
Brasil,Tanzânia,TZA,0.0,0.0,,59734218,22.35
Brasil,Senegal,SEN,0.0,0.0,,16743927,27.85
Brasil,Jamaica,JAM,0.0,0.0,,2961167,24.95
Brasil,Anguilla,,0.0,0.0,,15094,26.0
Brasil,Costa do Marfim,CIV,0.0,0.0,,26378274,26.35
Brasil,Tunísia,TUN,0.0,0.0,,11818619,19.2
